Должность,Работодатель,Дата публикации,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Бариста в кофейню (без опыта) | 120 000 рублей,Сфера,2025-10-22,80.0,120.0,5400.0,450.0,12.0,Нет опыта,ТК,"2/2, 3/1, 3/3, 5/2, 2/3",,"форма, бонус, бонусы, обучение, кофе","Напитки: от классики до авторских. Завтраки и бранчи. Выпечку собственного производства. Форматы: To-Go и Counter Service. Немного нетворкинга, коворкинга...",https://hh.ru/vacancy/126452362
Бариста в кафе,Цурио,2025-10-21,6.5,8.0,,,,Нет опыта,ТК,5/2,Еженедельно,"питание, форма, униформа, скидки, кофе","Тебе предстоит много общаться, рассказывать гостям про ассортимент и самые интересные новинки, ну и конечно же создавать атмосферу и готовить...",https://hh.ru/vacancy/126776069
Бариста,STARS COFFEE,2025-10-21,,,,,,Нет опыта,ТК,64/27,,"обучение, кофе",Готовить напитки и подавать наши супер-десерты. - Проводить оплату по кассовому аппарату. - Поддерживать дружелюбную атмосферу в кофейне и заряжать гостей...,https://hh.ru/vacancy/112334568
Продавец-бариста в сеть кофеен French Bakery,FRENCH BAKERY,2025-10-21,100.0,,,,,Нет опыта,ТК,"12/13, 5/2",,"премии, обучение, кофе",Работа за кассой( ПО IIko). Работа с кофемашиной (рожковая). Общение с гостями. Активные продажи продукции кафе. Приготовление напитков. Выкладка витрин. ,https://hh.ru/vacancy/126184382
Бариста в сетевую кофейню YesNoMilk,Саб-Сервис,2025-10-20,90.0,,,,,Нет опыта,ТК,"5/2, 6/1",Ежемесячно,"питание, бесплатное питание, форма, премии, обучение, кофе","...развитию и карьерному росту (<highlighttext>бариста</highlighttext> может участвовать в развитии меню напитков, стать старшим <highlighttext>бариста</highlighttext> или шеф-<highlighttext>бариста</highlighttext>, участвовать в чемпионатах).",https://hh.ru/vacancy/126309030
Бариста в кофейню Lintu,Кофейня Lintu,2025-10-20,64.0,115.0,5160.0,430.0,12.0,Нет опыта,ТК,"5/2, 2/2, 4/3, 3/3, 3/2, 6/1",,"бонус, кофе",Кормим и предоставляем кофейную классику в течение всей твоей смены.,https://hh.ru/vacancy/125842729
"Бариста-бармен в ресторан ""Вадваре""",Краденый Артишок,2025-10-21,100.0,,,,,От 1 года до 3 лет,ТК,4/2,,"питание, бесплатное питание, кофе","Приготовление кофейных и авторских напитков по техкарте, — Работа с алкоголем (в том числе с шейкером), — Участие в создании домашних сиропов и заготовок, — Работа с кассой (iiko — при необходимости обучим), — Подготовка рабочего места к открытию и закрытию, — Поддержание чистоты и порядка на рабочем месте. Что предлагаем: — Работа на кофемашине La Marzocco KB90, — Возможность совершенствовать навыки латте-арта в спокойной обстановке, — Поддержка в развитии слабых сторон — технически и творчески, — Мобильность внутри команды: при желании можно перейти на кассу или в зал.",https://hh.ru/vacancy/126107980
"Тренер-бариста/специалист по чаю, кофе (Москва, Московская область)",Старый Мастер,2025-10-20,100.0,,,,,От 1 года до 3 лет,ТК,5/2,,"бонус, бонусы, скидки, проезд, кофе, чай","Проведение обучающих программ: Разработка и проведение тренингов для бариста и персонала клиентов (как на нашей площадке, так и с выездом). Технический эксперт: Диагностика, обслуживание и настройка профессионального кофейного оборудования на точках клиентов. Презентации и продвижение: Проведение совместных с менеджерами по продажам дегустаций и презентаций продукции для ключевых клиентов. Участие в отраслевых мероприятиях: Представление компании на выставках, чемпионатах и корпоративных событиях. Аналитика и отчетность: Ведение регулярной отчетности по проведенным мероприятиям и эффективности обучающих программ. Мы ожидаем от кандидата: Опыт работы тренером в кофейной индустрии от 1 года. Подтвержденные знания в области кофе (наличие сертификатов SCA или аналогичных будет значительным преимуществом). Практический опыт настройки и обслуживания различного кофейного оборудования. Навыки систематизации работы и грамотной подготовки отчетной документации. Клиентоориентированность и развитые коммуникативные навыки. Готовность к командировкам и гибкий график в рамках рабочих задач. Знания в области чайного направления приветствуются. Профессиональные и личные качества: Стремление к профессиональному развитию и глубокому погружению в кофейную тематику. Проактивная позиция, нацеленность на достижение измеримых результатов. Ответственность и самостоятельность. Умение работать в команде и выстраивать долгосрочные партнерские отношения с клиентами.",https://hh.ru/vacancy/126725579
Начинающий Бариста,Клепиков Сергей Михайлович,2025-10-20,74.0,91.0,,,,Нет опыта,ТК,64/27,Еженедельно,"форма, обучение",Приготовление напитков. Поддержание чистоты за баром.,https://hh.ru/vacancy/126426029
Бариста,Yumbaker,2025-10-21,91.5,113.5,5700.0,475.0,'8-12,От 1 года до 3 лет,ТК,"4/3, 8/12",,"питание, обучение, кофе","варить действительно вкусный кофе, вываривать из каждого сорта зерна максимум вкуса, делиться своими открытиями и эмоциями с нашими гостями и помогать им погружаться в кофейный мир, поддерживать порядок и чистоту на своем рабочем месте, развиваться самому и помогать команде становиться еще лучше.",https://hh.ru/vacancy/126179747
Бариста,STARS COFFEE (ООО Самоцвет),2025-10-22,,,,,,Нет опыта,ТК,5/2,,"обучение, кофе",Готовить напитки и подавать наши супер-десерты. - Проводить оплату по кассовому аппарату. - Поддерживать дружелюбную атмосферу в кофейне и заряжать гостей...,https://hh.ru/vacancy/126516766
Бариста в кофейню Дринкит,Дринкит - сеть кофеен,2025-10-22,55.0,70.0,3300.0,275.0,'5-12,Нет опыта,ТК,5/12,2 раза в месяц,"обучение, кофе",Готовить кофе и другие напитки. Проводить уборку рабочей зоны. Общаться с гостями.,https://hh.ru/vacancy/125862429
Бариста в кофейню-корнер Kristof,Варданян Нарек Хачикович,2025-10-22,85.0,110.0,,,,Нет опыта,ТК,"5/2, 4/3, 3/2",2 раза в месяц,"питание, бесплатное питание, бонус, обучение, кофе",Активно и ответственно обращаться с кассой (iIko). Умение продавать (хороший средний чек и продажи в час). Опыт работы в Specialty...,https://hh.ru/vacancy/126230330
Шеф-бариста в ресторан,Мегарест,2025-10-22,110.0,140.0,,,,От 1 года до 3 лет,ТК,"18/19, 5/2, 4/3",,"обучение, кофе","Соблюдение стандартов обслуживания и сервиса Приготовление кофейных напитков Глубокие познания в альтернативных кофейных напитках Разработка меню кофе Обучение младших сотрудников Т ребования: Готовность работать в команде Интерес к ресторанной сфере Опыт работы не обязателен Условия Полная занятость, сменный график, смены дневные Начальная зарплата 110000 рублей + премиальные от роста продаж График с 8 до 18-19 / 5/2 или 4/3 оформление по ТК оплачиваемая стажировка",https://hh.ru/vacancy/126621501
Бариста в кофейню Glitch Coffee,Glitch Coffee,2025-10-21,70.0,,3900.0,325.0,12.0,Нет опыта,ТК,5/2,,"питание, бесплатное питание, обучение, проезд, кофе","Готовить напитки на профессиональной рожковой кофемашине; Работать с кассой; Создавать и поддерживать заботливую атмосферу для наших гостей и чистоту в кофейне. Кого мы ищем: Коммуникабельного и дружелюбного человека; Ответственного и внимательного к деталям, готового учиться и развиваться вместе с командой; Увлеченного кофейной культурой и стремящегося делиться своим опытом с другими. Вакансии открыты по адресам: - Покровский бульвар, 11с4, м. Курская; - Верейская улица 17 | БЦ Верейская Плаза 2, м. Давыдково; - Малая Пионерская улица 12, м. Павелецкая; - Варшавское шоссе 1с6 | БЦ W-Plaza 2, м. Тульская; - Измайловское шоссе 44с2, м. Семеновская; - Улица Малая Ордынка 17, м. Третьяковская; - Улица Нобеля 3, м. Сколково; - Бумажный проезд 19с4, м Савеловская; - Улица Сущевский Вал, 49, м. Марьина Роща. Хочешь к нам? Оставляй отклик — и мы свяжемся в течение суток. Наша команда ждёт тебя!",https://hh.ru/vacancy/126559037
Бариста,Air Coffee,2025-10-21,85.0,115.0,4440.0,370.0,12.0,Нет опыта,ТК,7/13,2 раза в месяц,"форма, обучение, кофе","Качественно и вкусно готовить кофе и другие напитки; Консультирование посетителей по ассортименту кофейни; Дружелюбное общение с гостями; Работа с кассой и терминалом; Содержание порядка на рабочем месте и в зале; Прием и выкладка товаров; Проведение инвентаризации (раз в месяц ); Требования : Ответственное отношение к работе; Пунктуальность; Чистоплотность; Мед. книжка (есть возможность оформления работодателем); Опыт работы от 3х месяцев в должности бариста как преимущество, но возможно обучение; Навык приготовления кофе альтернативными способами приветствуется;",https://hh.ru/vacancy/125859484
Бариста в кофейню,Skuratov Coffee,2025-10-20,63.0,70.0,,,'7-10,Нет опыта,ТК,7/10,,"питание, корпоративное питание, обучение, кофе","От вас: Любить людей, быть открытыми и много учиться. Любить кофе и не бояться менять рынок вместе с нами.",https://hh.ru/vacancy/125877434
Бариста,SKOLKOVO GOLF CLUB,2025-10-19,100.0,100.0,,,,Нет опыта,ТК,2/2,,"ДМС, питание, корпоративное питание, транспорт, кофе, чай","Обслуживать посетителей за контактной барной стойкой фитнес- клуба. Готовить кофе, чай и другие напитки. Следить за сроками годности ингредиентов. Поддерживать чистоту и порядок на рабочем месте. Соблюдать высокие стандарты обслуживания. Получать оплату за приобретенные продукты.​​​​​​​ Как стать частью нашей команды: Опыт работы бариста от 6 месяцев. Знание основ спортивного питания и увлечение фитнесом. Умение работать с рожковой кофемашиной. Навык приготовления напитков по технологическим картам. Ориентированность на клиента и умение находить общий язык с людьми. Коммуникабельность и грамотная речь.",https://hh.ru/vacancy/125795006
Старший бариста,Эй.Ви.Эм. Групп,2025-10-21,100.0,150.0,,,,От 1 года до 3 лет,ТК,"5/2, 6/1",,"бонус, бонусы, кофе","Приготовление холодных и горячих напитков согласно ТТК. Помощь на кухне, если вдруг запара, приветствуется, тк мы Команда, но она требует я далеко не всегда. Поддержание чистоты. Любовь к Продукту, к тому, что Вы делаете. Готовность отдаваться работе, получая симметричную отдачу и бонусы и расти вместе с Компанией и развиваться.",https://hh.ru/vacancy/125675566
Бариста,Дон Кофеоне,2025-10-21,4.8,7.0,,,,От 1 года до 3 лет,ТК,"2/2, 3/3",,"форма, обучение, кофе","Приготовление напитков Общение с гостями: без жёстких стандартов и навязывания допов, но с душой, чтобы человек захотел прийти ещё Приёмка товара, составление заявок Работа с кассой Проведение инвентаризации: раз в смену, каждый отвечает за себя Чего мы ждём от кандидата : Умение общаться с людьми, доброжелательность Пунктуальность и ответственное отношение к работе Опыт работы не обязателен, но будет преимуществом Желательно наличие медкнижки или готовность оперативно её оформить (оплачивается компанией)",https://hh.ru/vacancy/125954578
Шеф-бариста,Омнипродукт,2025-10-22,100.0,,,,,От 1 года до 3 лет,ТК,5/2,,"подарки, скидки, обучение, кофе","развитие направления кофейных напитков и сопутки к ним в действующей сети гастробаров; объезд по точкам, контроль качества кофе, создания кофейного вайба в заведениях, прививание гостям кофейной культуры; обучение и контроль работы бариста; работа за контактной стойкой.",https://hh.ru/vacancy/125791087
Бариста-Продавец в команду FRENCH BAKERY,FRENCH BAKERY,2025-10-20,,140.0,,,,Нет опыта,ТК,"2/2, 3/3, 5/2, 6/1",2 раза в месяц,"питание, бесплатное питание, скидки, обучение, кофе","Приготовление кофе и других напитков по стандартам компании Обслуживание гостей и создание приятной атмосферы Продажа свежей выпечки и кондитерских изделий Поддержание порядка на рабочем месте Работа с кассой и ведение отчетности Преимущества работы у нас: Поддержка на всех этапах работы Возможность профессионального роста и обучения Скидки на продукцию кофейни Подберем для ВАС место работы ближе к дому Стань частью команды FRENCH BAKERY SeDelice, откликайся на вакансию — мы обязательно ответим :)",https://hh.ru/vacancy/119644511
Начинающий бариста в кофейню ONE & DOUBLE,OD BRANDS,2025-10-20,62.5,99.9,3000.0,250.0,12.0,Нет опыта,ТК,"2/2, 3/3, 3/1, 4/2, 5/2, 6/1",,"питание, форма, бонус, бонусы, кофе",Приготовление самых вкусных напитков. Наводить уют в кофейне. Помощь гостю при выборе в меню.,https://hh.ru/vacancy/126721002
Бариста/Буфетчик,ФГБУ «Национальный медицинский исследовательский центр травматологии и ортопедии имени Н.Н. Приорова» Минздрава России,2025-10-22,100.0,,,,,От 1 года до 3 лет,ТК,2/2,,кофе,"Прием заказов на напитки, кондитерские изделия, другие готовые продукты питания непосредственно от посетителей. -Обслуживание посетителей заведения напитками и закусками за барной стойкой и столиками буфета. -Приготовление и подача напитков, свежевыжатых соков и прочих напитков в баре. - Мытье использованной посуды, уборка и уход за служебными помещениями в баре, стойками для приготовления чая или кофе и оборудованием, таким как кофейные машины. - Содействие в своевременном пополнении запасов в баре. - Оформление витрины и барной стойки буфета.",https://hh.ru/vacancy/126804499
Утренний Бариста в кофейню Дринкит (м. Войковская),Дринкит - сеть кофеен,2025-10-22,55.0,70.0,3300.0,275.0,'5-12,Нет опыта,ТК,"5/12, 1/2",2 раза в месяц,"обучение, кофе",Готовить кофе и другие напитки. Проводить уборку рабочей зоны. Общаться с гостями.,https://hh.ru/vacancy/126439961
Продавец-бариста в сеть кофеен FRENCH BAKERY,FRENCH BAKERY,2025-10-22,,140.0,5040.0,420.0,12.0,Нет опыта,ТК,5/2,,"премии, скидки, обучение, кофе",Работа за кассой( ПО IIko). Работа с кофемашиной (рожковая). Общение с гостями. Активные продажи продукции кафе. Приготовление напитков. Выкладка витрин. ,https://hh.ru/vacancy/126188494
Бариста в кафе,Norme,2025-10-21,80.0,130.0,,,,Нет опыта,ТК,"2/2, 3/2, 5/2",2 раза в месяц,"питание, бесплатное питание, форма, премии, кофе, чай","◾ Подготовка зала к работе. ◾ Принятие заказа, расчет гостей — R-keeper ◾Приготовление напитков (чай, кофе, протеиновые шейки). Обслуживание гостей в зале (прием заказов, консультация по меню, отдача блюд).",https://hh.ru/vacancy/123327356
"Бариста в сеть кофеен ""Кофепорт""",Малюк Дарья Сергеевна,2025-10-21,100.0,130.0,,,,Нет опыта,ТК,"5/2, 2/2",,"питание, форма, униформа, бонус, бонусы, кофе",Готовить кофейные напитки на автоматической кофемашине. Помогать гостям в выборе продукции. Работать с кассой. Поддерживать чистоту на рабочем месте.,https://hh.ru/vacancy/126562958
Бариста в кофейню One Price Coffee (м. 1905),OnePrice Coffee,2025-10-22,92.4,,,,,Нет опыта,ТК,5/2,,"питание, обучение, кофе","Приготовление кофейных напитков по утвержденным рецептам Работа с кассой и участие в инвентаризациях Поддержание уютной атмосферы в кофейне, создание позитивного настроения для наших гостей Соблюдение чистоты и порядка на рабочем месте Требования к тебе: Любовь к кофе Приветливость, коммуникабельность, энтузиазм Готовность учиться новому и развиваться профессионально Пунктуальность и ответственность Присоединяйся к нам и стань частью команды, где каждая чашка кофе - это искусство и удовольствие. Мы гарантируем, что ты не только научишься готовить вкуснейший кофе, но и найдешь здесь друзей и возможность развиваться вместе с нами! :)",https://hh.ru/vacancy/126388128
"Бариста в пекарню ""Лицей""",Кафе-пекарня Лицей,2025-10-21,80.0,90.0,,,'8-12,Нет опыта,ТК,"5/2, 2/2, 8/12",2 раза в месяц,"питание, форма, скидки","Собственное производство, с которого каждое утро привозим свежую выпечку и десерты. Планируем коктейльное меню и винную карту ближе к концу...",https://hh.ru/vacancy/126374004
Утренний Бариста в кофейню Дринкит (м. Речной вокзал),Дринкит - сеть кофеен,2025-10-22,55.0,70.0,3300.0,275.0,'5-12,Нет опыта,ТК,"5/12, 1/2",2 раза в месяц,"обучение, кофе",Готовить кофе и другие напитки. Проводить уборку рабочей зоны. Общаться с гостями.,https://hh.ru/vacancy/125862427
Старший бариста,ЕМ Кейк,2025-10-21,80.0,130.0,,,12.0,От 1 года до 3 лет,ТК,"2/2, 5/2",,"скидки, обучение, кофе",Руководство командой бариста и координация их работы. Приготовление кофе и других напитков на высшем уровне. Обучение и развитие новых сотрудников. Контроль качества обслуживания и соблюдение стандартов компании. Ведение учета и заказ необходимых ингредиентов и материалов.,https://hh.ru/vacancy/126793297
Бариста/Менеджер в кофейню Кранчи Дрим (Химки),Кранчи Дрим,2025-10-19,80.0,105.0,,,12.0,Нет опыта,ТК,"2/2, 5/2",,"питание, скидки, кофе, чай","Питание на смене - поддерживаем энергией на работе. Готовить кофе и следить за выполнением стандартов. Обучать новичков, контролировать и организовывать работу...",https://hh.ru/vacancy/126488802
"Бариста в лавку ""Братья Караваевы""",Кулинарная лавка братьев Караваевых,2025-10-21,,120.0,,,,Нет опыта,ТК,6/1,2 раза в месяц,"питание, форма, обучение",Консультируют гостей при выборе блюд и напитков. Работают с кассой. Внимательно относятся к чистоте и наполненности витрины. Мы одержимы нашими...,https://hh.ru/vacancy/125719152
Шеф-бариста,Лаборатория Еды,2025-10-20,,,,,,От 3 до 6 лет,ТК,5/2,Еженедельно,"форма, обучение, кофе","Разработка меню и работа за баром Создание сезонного меню (кофе, лимонады, акционные предложения). Введение новых рецептур и их стандартизация. Обучение и развитие команды. Проведение тренингов, аттестаций и регулярных тренировок для бариста. Контроль работы точек Проведение еженедельных аудитов на точках. Контроль соблюдения стандартов приготовления напитков. Помощь в решении вопросов, связанных с работой команды. Наши пожелания к кандидату: Опыт работы от 3 лет в аналогичной должности Глубокие знания о кофе (сорта, способы обжарки, методы заваривания) Умение настраивать помол и работать с оборудованием Наличие действующей медицинской книжки Легкость в общении, дружелюбие и стрессоустойчивость Как преимущество - курсы о повышении квалификации, участие в соревнованиях Опыт открытия кофеен с нуля Готовность к командировкам (например открытие кофеен в СПб )",https://hh.ru/vacancy/126660139
"Бариста в кофейню Дринкит (офис VK, м. Аэропорт)",Дринкит - сеть кофеен,2025-10-22,55.0,70.0,3300.0,275.0,'5-12,Нет опыта,ТК,"5/12, 1/2",2 раза в месяц,"обучение, кофе",Готовить кофе и другие напитки. Проводить уборку рабочей зоны. Общаться с гостями.,https://hh.ru/vacancy/125862431
Бариста в кофейню One Price Coffee (м. Октябрьская),OnePrice Coffee,2025-10-21,92.4,,3600.0,300.0,12.0,Нет опыта,ТК,64/27,2 раза в месяц,"форма, премии, бонус, бонусы, обучение, кофе","Готовить лучший кофе в городе, согласно стандартам компании. Общаться с гостями и ориентировать по нашему меню. Работать с кассой (всему...",https://hh.ru/vacancy/126208010
Начинающий Бариста в кафе-пекарню,FRENCH BAKERY,2025-10-20,,140.0,,,,Нет опыта,ТК,"6/1, 5/2, 3/3, 2/2",,"скидки, обучение, кофе",Приготовление кофе и других напитков по стандартам компании Продажа выпечки и кондитерских изделий Поддержание чистоты и порядка на рабочем месте Работа с кассой,https://hh.ru/vacancy/123216553
Бариста,Alex&Milana,2025-10-19,80.0,85.0,4200.0,350.0,12.0,Нет опыта,ТК,"5/2, 2/2",2 раза в месяц,"кофе, чай","Варить кофе, чай, делать свежевыжатые соки и молочные коктейли. Поддерживать идеальную чистоту и порядок. Обслуживание гостей. Общение с гостями, работать...",https://hh.ru/vacancy/126277231
Бариста,Кривоносов Павел Александрович,2025-10-20,72.0,100.0,3600.0,300.0,12.0,Нет опыта,ТК,5/2,,"обучение, кофе","Выработка от 40ч в неделю Работа на кассе, принятие заказов, расчет посетителей. Приготовление кофе и кофейных напитков с соблюдением стандартов компании. Поддержание чистоты рабочего места и торгового зала. Закрытие смены: мойка оборудования, рабочего места, зала для гостей. Если это про тебя, то ты идеальный кандидат: Желание работать. Высокая степень общительности. Пунктуальность и ответственность. Готовность активно внедряться в рабочий процесс и проявлять инициативу. Готовность к оформлению медицинской книжки (компенсация после полугода работы). Присоединяйтесь к нашей команде в &quot;Coffeeist&quot; и воплотите свою страсть к кофе в профессиональное искусство! Отправьте ваше резюме, и станьте ключевым игроком в создании уникального кофейного опыта для наших ценителей.",https://hh.ru/vacancy/125876372
Бариста в кофейню Дринкит (м. Серпуховская),Дринкит - сеть кофеен,2025-10-20,53.0,63.0,3300.0,275.0,'5-9,Нет опыта,ТК,"4/5, 5/9",,"форма, обучение, кофе",Сделаем тебе медицинскую книжку за наш счет.,https://hh.ru/vacancy/126706428
Бариста-официант в кофейню ROASTER coffee,ROASTER кофе,2025-10-21,85.0,120.0,6000.0,500.0,12.0,От 1 года до 3 лет,ТК,"2/2, 3/2, 4/2",2 раза в месяц,"питание, кофе","Умение работать в команде. Грамотная речь. Ответственность, доброжелательность, готовность к обучению. Знание iiko (желательно). Рассмотрим кандидатов с опытом от 1...",https://hh.ru/vacancy/126779019
Начинающий Бариста/Бармен в мини-кафе,Клепиков Сергей Михайлович,2025-10-22,74.0,91.0,,,,Нет опыта,ТК,5/2,Еженедельно,форма,Приготовление напитков. Поддержание чистоты за баром.,https://hh.ru/vacancy/126134250
Бариста,Промоделдженерейшен,2025-10-21,4.5,5.0,,,10.0,От 1 года до 3 лет,ТК,2/5,,кофе,Обслуживать гостей кофейни. Консультировать по ассортименту кофейни. Вcе оcтальные мoменты oбcуждаютcя нa сoбесeдованиe.,https://hh.ru/vacancy/125980153
Офицант/Бармен/Бариста,PIMS (ИП Тищенков Олег Михайлович),2025-10-19,80.0,105.0,4440.0,370.0,'8-12,Нет опыта,ТК,8/12,2 раза в месяц,"форма, униформа, бонус, бонусы","Качественное и быстрое приготовление напитков. Поддержание порядка и чистоты на рабочем месте. Предоставление фирменного сервиса гостям. Общение с гостями, работа...",https://hh.ru/vacancy/126622539
Бариста ONE PRICE COFFEE,Ван Груп Компани,2025-10-21,,67.5,,,,Нет опыта,ТК,5/2,,"питание, форма, премии, бонус, бонусы, обучение, кофе","Готовить вкусный кофе, создавать отличное настроение гостям, работать с кассой и поддерживать чистоту и уют. Ждем тебя в команду, если ты: Коммуникабельный, энергичный, позитивный, опрятный; Хочешь развивать кофейную экспертизу; Стремишься получить практический опыт в кофейной сфере или прокачать его и вывести на новый уровень; Уже работал в кофейне или пока еще новичок, желающий научиться искусству приготовления кофе :) Уже закончил учебное заведение или точно знаешь, как совмещать учебу и работу! Особенно ждем бариста со станций метро: МЦК Коптево, МЦК Окружная, МЦК Автозаводская, МЦК ЗИЛ, МЦК Дубровка, м. Коломенская, м. Каширская, м. Авиамоторная, м. Шоссе Энтузиастов, м. Перово, м. Нижегородская, МЦК Площадь Гагарина, м. Ленинский проспект, м. Академическая, м. Шаболовская, МЦК Крымская, МЦК Владыкино, м. Молодежная, м. Волоколамская, м. Достоевская, м. Профсоюзная, м. Комсомольская, м. Нагатинская, МЦК Верхние Котлы и др.",https://hh.ru/vacancy/123392346
Бариста в кофейню,SKY GROUP,2025-10-19,82.0,,,,,Нет опыта,ТК,3/3,2 раза в месяц,"скидки, обучение, кофе",* Приготовление кофе и других напитков по авторским рецептам. * Обслуживание клиентов на высоком уровне. * Поддержание чистоты и порядка на рабочем месте. * Работа с кассой и ведение учёта продаж.,https://hh.ru/vacancy/126420555
Бариста в кофейню One Price Coffee (м. Варшавская),OnePrice Coffee,2025-10-21,83.2,,3240.0,270.0,12.0,Нет опыта,ТК,6/1,2 раза в месяц,"форма, премии, бонус, бонусы, обучение, кофе","Готовить лучший кофе в городе, согласно стандартам компании. Общаться с гостями и ориентировать по нашему меню. Работать с кассой (всему...",https://hh.ru/vacancy/126208107
Бариста на флагман HQ! coffee Сити-парк,HQ!,2025-10-16,98.0,155.0,4320.0,360.0,12.0,От 1 года до 3 лет,ТК,64/27,2 раза в месяц,"скидки, кофе",Команда HQ!Coffee в поисках <highlighttext>бариста</highlighttext> в кофейню ЖК Сити-парк. Работа с классным зерном собственной обжарки.,https://hh.ru/vacancy/126601980
Бариста Аэроплан.кофе,Аэроплан. Кофе,2025-10-20,79.5,99.0,4800.0,400.0,'10-12,От 1 года до 3 лет,ТК,"4/3, 10/12",,"питание, кофе","варить действительно вкусный кофе, вываривать из каждого сорта зерна максимум вкуса, делиться своими открытиями и эмоциями с нашими гостями и помогать им погружаться в кофейный мир, поддерживать порядок и чистоту на своем рабочем месте, развиваться самому и помогать команде становиться еще лучше.",https://hh.ru/vacancy/126729811
Бариста-кассир,Павленко Дарья Александровна,2025-10-22,90.0,105.0,,,,Нет опыта,ТК,5/2,,"скидки, обучение, кофе","Готовить вкусный кофе и другие напитки по нашим стандартам. Общаться с гостями, создавать дружескую атмосферу. Работать на кассе и принимать...",https://hh.ru/vacancy/126818409
Начинающий бариста,SKY GROUP,2025-10-20,82.0,,,,,Нет опыта,ТК,3/3,2 раза в месяц,"скидки, обучение, кофе",* Приготовление кофе и других напитков по авторским рецептам. * Обслуживание клиентов на высоком уровне. * Поддержание чистоты и порядка на рабочем месте. * Работа с кассой и ведение учёта продаж.,https://hh.ru/vacancy/126325362
Бариста в Москвариум,Москвариум,2025-10-21,,150.0,,,,От 1 года до 3 лет,ТК,2/2,,"ДМС, питание, бесплатное питание, скидки","🐾 Ищем сотрудника в КапиКафе 🐾 Хочешь работать в крутом месте у Москвариума, рядом с милыми капибарами? Обязанности простые — работать в кафе, радовать посетителей и наслаждаться атмосферой! 😊 Что мы предлагаем: График 2/2 — отдыхай ярко и регулярно Официальное оформление ДМС Бесплатное питание Зарплата 4500 ₽ за смену + премия Скидки на продукцию компании Если хочешь вместе с нами создавать уют и классное настроение — пиши\звони, мы ждем именно тебя! 🚀",https://hh.ru/vacancy/125444879
Бариста-кассир в кафе,Римляне,2025-10-22,70.0,105.0,,,12.0,Нет опыта,ТК,"2/2, 3/3",2 раза в месяц,"питание, бесплатное питание, кофе, чай",Консультировать гостей по меню. * Работать с кассой и принимать заказы. * Следить за порядком на витрине. * Готовить вкуснейшие напитки: кофе/чай...,https://hh.ru/vacancy/126244428
Бариста,SKY GROUP,2025-10-19,82.0,,,,,Нет опыта,ТК,3/3,2 раза в месяц,"скидки, обучение, кофе",* Приготовление кофе и других напитков по авторским рецептам. * Обслуживание клиентов на высоком уровне. * Поддержание чистоты и порядка на рабочем месте. * Работа с кассой и ведение учёта продаж.,https://hh.ru/vacancy/125868284
Бариста,Coffee bean,2025-10-21,80.0,,,,'8-9,Нет опыта,ТК,"5/2, 7/16, 12/20, 8/9",,кофе,Приготовление кофе и других напитков. >Работаем в IIKO. Тренинги и семинары для развития твоих soft & hard skills.,https://hh.ru/vacancy/126106624
Бариста (ТЦ ЦДМ),Томиоми,2025-10-21,75.0,85.0,,,'9-13,Нет опыта,ТК,"9/13, 5/10",2 раза в месяц,"питание, корпоративное питание, форма, кофе","Обслуживать Гостей за кассой и создавать им отличное настроение.  Качественно готовить напитки из меню согласно ТТК.  Соблюдать нормы санитарии , поддерживать...",https://hh.ru/vacancy/126791369
Бариста (Москва сити),FreshCafe,2025-10-21,96.0,,,,8.0,Нет опыта,ТК,5/2,,"питание, форма, униформа, бонус, бонусы, подарки, обучение, проезд, оплата проезда",Приготовление напитков • Работа с кассовой программой IIKO • Общение с гостями • Соблюдение стандартов санитарии на рабочем месте Мы оцениваем в кандидатах: • Опыт работы бариста от 6 месяцев • Организованность • Умение работать в команде,https://hh.ru/vacancy/125815509
Бариста Surf Coffee x Akademik (м. Проспект Вернадского),Surf Coffee,2025-10-20,60.0,90.0,,,,Нет опыта,ТК,5/2,,"питание, форма, униформа, премии, бонус, обучение, кофе","Приготовление напитков по стандартам компании Общение с гостями в формате дружеской беседы Работа с кассой и соблюдение чек-листов Участие в жизни кофейни, командных встречах и предложениях по улучшению Surf Coffee® — это больше, чем работа. Это сообщество, стиль жизни и возможности. Если хочешь расти, развиваться и быть частью команды, которая двигается вперёд — мы ждём именно тебя. We Are Greater Than I",https://hh.ru/vacancy/126639094
Бариста,Желтый Кофе и Бейглы,2025-10-22,70.0,130.0,,,'10-12,От 1 года до 3 лет,ТК,"3/3, 2/2, 3/2, 7/10",,"питание, бонус, бонусы, скидки, кофе","Приготовление напитков по стандартам компании. Настройка помола и работа с кофемашиной. Работа с кассой и обслуживание клиентов. Контроль товарных остатков и составление заказов на продукцию. Выкладка выпечки, десертов и напитков. Прием поставок и поддержание чистоты на рабочем месте.",https://hh.ru/vacancy/126478255
Начинающий бариста в ONE & DOUBLE,OD BRANDS,2025-10-20,67.5,99.0,3600.0,300.0,12.0,Нет опыта,ТК,"2/2, 3/3, 3/1, 4/2, 5/2, 6/1",,"питание, форма, бонус, бонусы, кофе",Приготовление самых вкусных напитков. Наводить уют в кофейне. Помощь гостю при выборе в меню.,https://hh.ru/vacancy/126508436
